Year,Month,Day,Three-hourly observation time(UTC),Temperature(¡æ),Pressure(hPa),Wind Speed(m/s),Wind Direction,Relative Humidity(%)
1998,12,1,0,NA,NA,NA,NA,NA
1998,12,1,3,-5.4,NA,8,205,65
1998,12,1,6,-4.1,NA,6,222,54
1998,12,1,9,-5.8,NA,NA,217,NA
1998,12,1,12,NA,NA,9.9,185,99
1998,12,1,15,NA,NA,9.2,158,96
1998,12,1,18,NA,NA,NA,196,62
1998,12,1,21,-13.5,NA,NA,180,56
1998,12,2,0,NA,NA,1.2,257,39
1998,12,2,3,-12.4,NA,NA,168,76
1998,12,2,6,-12.8,NA,NA,167,86
1998,12,2,9,-12.6,NA,3.3,222,78
1998,12,2,12,-14,NA,NA,229,79
1998,12,2,15,NA,NA,1.6,285,72
1998,12,2,18,-13.6,NA,2.1,227,57
1998,12,2,21,-11.5,NA,3.1,347,74
1998,12,3,0,NA,NA,0.4,282,44
1998,12,3,3,NA,NA,NA,341,76
1998,12,3,6,NA,NA,NA,329,65
1998,12,3,9,-3.6,NA,4.3,333,67
1998,12,3,12,-3.8,NA,NA,296,59
1998,12,3,15,-4.5,NA,5.8,284,63
1998,12,3,18,-3.1,NA,NA,226,56
1998,12,3,21,NA,NA,1,1,26
1998,12,4,0,NA,NA,1.2,355,53
1998,12,4,3,-2.4,NA,2.1,151,42
1998,12,4,6,-1.6,NA,2.1,113,54
1998,12,4,9,NA,NA,2.9,153,84
1998,12,4,12,NA,NA,3.5,187,97
1998,12,4,15,NA,NA,3.7,180,95
1998,12,4,18,-10.2,NA,2.3,181,74
1998,12,4,21,NA,NA,1.8,225,40
1998,12,5,0,NA,NA,0.2,233,12
1998,12,5,3,NA,NA,1.4,8,46
1998,12,5,6,-4.4,NA,3.5,355,88
1998,12,5,9,-3.8,NA,NA,319,91
1998,12,5,12,-5.5,NA,NA,285,85
1998,12,5,15,-4.5,NA,5.3,312,89
1998,12,5,18,-3.2,NA,5.7,312,83
1998,12,5,21,-2.5,NA,8,322,84
1998,12,6,0,-2.4,NA,8.2,327,82
1998,12,6,3,-2.4,NA,6.6,338,89
1998,12,6,6,-2,NA,6.6,319,78
1998,12,6,9,-2.5,NA,3.9,298,71
1998,12,6,12,-3.8,NA,5.5,309,95
1998,12,6,15,-4.1,NA,6.6,305,96
1998,12,6,18,-3.6,NA,9.6,316,94
1998,12,6,21,-3.2,NA,9,317,85
1998,12,7,0,-2.4,NA,5.1,326,74
1998,12,7,3,-2.2,NA,NA,195,45
1998,12,7,6,-1.2,NA,2.3,111,50
1998,12,7,9,-4.8,NA,2.5,115,81
1998,12,7,12,NA,NA,3.9,160,99
1998,12,7,15,NA,NA,5.3,154,99
1998,12,7,18,NA,NA,1,149,80
1998,12,7,21,NA,NA,1.2,194,57
1998,12,8,0,-5.5,NA,3.1,322,75
1998,12,8,3,NA,NA,1.4,36,42
1998,12,8,6,-7.1,NA,4.7,139,70
1998,12,8,9,-6.8,NA,3.1,142,74
1998,12,8,12,-8.4,NA,4.9,153,93
1998,12,8,15,-9.1,NA,5.1,182,89
1998,12,8,18,-9.6,NA,4.5,205,77
1998,12,8,21,-7.6,NA,2.7,196,47
1998,12,9,0,NA,NA,1.8,170,37
1998,12,9,3,NA,NA,1.2,327,52
1998,12,9,6,NA,NA,1.8,98,55
1998,12,9,9,-4.9,NA,2.3,355,75
1998,12,9,12,NA,NA,1.9,35,95
1998,12,9,15,NA,NA,2.5,16,96
1998,12,9,18,-10.5,NA,2.5,16,NA
1998,12,9,21,-8.2,NA,2.9,21,95
1998,12,10,0,NA,NA,4.3,355,80
1998,12,10,3,-3.9,NA,4.9,340,77
1998,12,10,6,-3.5,NA,2.1,2,72
1998,12,10,9,NA,NA,1.8,22,77
1998,12,10,12,NA,NA,0.6,123,84
1998,12,10,15,NA,NA,2.3,129,87
1998,12,10,18,-10.1,NA,2.5,184,86
1998,12,10,21,-8.9,NA,6,168,91
1998,12,11,0,-7.8,NA,7,150,80
1998,12,11,3,-8.5,NA,9,171,86
1998,12,11,6,-8.4,NA,8,161,91
1998,12,11,9,-9.1,NA,5.5,168,92
1998,12,11,12,-9.4,NA,4.5,163,95
1998,12,11,15,-9.4,NA,3.5,188,84
1998,12,11,18,NA,NA,1.8,102,54
1998,12,11,21,NA,NA,0.2,130,13
1998,12,12,0,NA,NA,0.2,25,26
1998,12,12,3,NA,NA,1.4,1,44
1998,12,12,6,-6.8,NA,2.7,32,76
1998,12,12,9,NA,NA,1.6,73,86
1998,12,12,12,NA,NA,0.6,57,98
1998,12,12,15,NA,NA,0.2,226,64
1998,12,12,18,NA,NA,0.2,317,55
1998,12,12,21,-8.5,NA,2.7,355,77
1998,12,13,0,NA,NA,NA,NA,NA
1998,12,13,3,-5.4,NA,4.9,355,79
1998,12,13,6,-5.4,NA,4.1,1,83
1998,12,13,9,-9.4,NA,4.5,18,96
1998,12,13,12,NA,NA,4.3,8,99
1998,12,13,15,NA,NA,1.2,178,82
1998,12,13,18,-14.1,NA,3.7,177,77
1998,12,13,21,-10.1,NA,5.3,196,70
1998,12,14,0,NA,NA,4.5,177,61
1998,12,14,3,NA,NA,1.4,146,32
1998,12,14,6,NA,NA,1.2,189,26
1998,12,14,9,NA,NA,1.4,355,66
1998,12,14,12,NA,NA,2.1,14,97
1998,12,14,15,NA,NA,1.9,33,92
1998,12,14,18,NA,NA,0.2,60,37
1998,12,14,21,-9.4,NA,2.5,150,56
1998,12,15,0,-8.2,NA,4.3,149,70
1998,12,15,3,-8,NA,3.9,165,67
1998,12,15,6,-8.5,NA,8,181,85
1998,12,15,9,-8.4,NA,NA,189,89
1998,12,15,12,-8.4,NA,9.8,181,NA
1998,12,15,15,-8.1,NA,8.2,195,NA
1998,12,15,18,-8.2,NA,11.3,202,99
1998,12,15,21,-7.8,NA,10.5,182,94
1998,12,16,0,-7.6,NA,9.8,185,88
1998,12,16,3,-7.1,NA,10.9,185,85
1998,12,16,6,-7.1,NA,6.6,180,87
1998,12,16,9,-7.6,NA,NA,164,93
1998,12,16,12,-8,NA,5.1,203,94
1998,12,16,15,-8.8,NA,4.1,209,95
1998,12,16,18,-8,NA,2.3,206,81
1998,12,16,21,-7,NA,3.3,185,62
1998,12,17,0,NA,NA,1.2,171,39
1998,12,17,3,-5.2,NA,2.5,163,45
1998,12,17,6,-5.6,NA,2.3,177,52
1998,12,17,9,NA,NA,1,151,56
1998,12,17,12,NA,NA,0.2,355,76
1998,12,17,15,NA,NA,0.2,317,62
1998,12,17,18,NA,NA,1.8,63,95
1998,12,17,21,NA,NA,0.6,313,35
1998,12,18,0,NA,NA,1.6,355,39
1998,12,18,3,-3,NA,2.7,NA,64
1998,12,18,6,-3.8,NA,3.5,NA,81
1998,12,18,9,-5.9,NA,5.8,NA,86
1998,12,18,12,-7.2,NA,5.1,347,99
1998,12,18,15,-10,NA,3.1,355,91
1998,12,18,18,-9.5,NA,2.3,337,79
1998,12,18,21,NA,NA,1.2,307,33
1998,12,19,0,NA,NA,0.2,355,39
1998,12,19,3,-0.9,NA,2.5,347,64
1998,12,19,6,NA,NA,1.2,338,48
1998,12,19,9,NA,NA,1.9,29,88
1998,12,19,12,NA,NA,1.6,70,92
1998,12,19,15,NA,NA,0.2,229,66
1998,12,19,18,-9.2,NA,2.5,91,67
1998,12,19,21,NA,NA,1.2,98,39
1998,12,20,0,NA,NA,2.5,144,44
1998,12,20,3,NA,NA,0.4,49,59
1998,12,20,6,NA,NA,1.2,355,48
1998,12,20,9,NA,NA,2.3,NA,88
1998,12,20,12,NA,NA,2.9,NA,95
1998,12,20,15,-8.4,NA,4.9,NA,93
1998,12,20,18,NA,NA,3.1,29,76
1998,12,20,21,NA,NA,0.2,170,44
1998,12,21,0,NA,NA,1.6,184,69
1998,12,21,3,NA,NA,1.4,74,52
1998,12,21,6,-1.1,NA,NA,143,84
1998,12,21,9,NA,NA,NA,178,96
1998,12,21,12,NA,NA,NA,213,NA
1998,12,21,15,-6.4,NA,14,217,NA
1998,12,21,18,-6.5,NA,11.9,199,97
1998,12,21,21,-5.8,NA,NA,182,82
1998,12,22,0,-3,NA,NA,355,54
1998,12,22,3,-2.9,NA,3.3,12,67
1998,12,22,6,-3.8,NA,5.3,350,84
1998,12,22,9,-2.1,NA,7.4,299,74
1998,12,22,12,-2.4,NA,2.5,355,69
1998,12,22,15,-4.9,NA,3.7,299,84
1998,12,22,18,NA,NA,1.9,336,73
1998,12,22,21,NA,NA,0.6,330,36
1998,12,23,0,-1.6,NA,5.1,210,44
1998,12,23,3,NA,NA,0.2,18,32
1998,12,23,6,-0.2,NA,2.7,12,57
1998,12,23,9,-1.6,NA,3.1,355,67
1998,12,23,12,NA,NA,0.2,316,52
1998,12,23,15,-3.8,NA,2.9,251,59
1998,12,23,18,NA,NA,0.2,195,30
1998,12,23,21,NA,NA,1.8,230,27
1998,12,24,0,-1.4,NA,4.1,196,47
1998,12,24,3,NA,NA,1.6,140,32
1998,12,24,6,NA,NA,1.6,136,39
1998,12,24,9,NA,NA,3.7,1,82
1998,12,24,12,NA,NA,4.1,355,71
1998,12,24,15,-8.4,NA,3.1,29,NA
1998,12,24,18,-8,NA,2.1,154,58
1998,12,24,21,NA,NA,1.9,164,37
1998,12,25,0,NA,NA,1.9,355,56
1998,12,25,3,-4,NA,NA,209,76
1998,12,25,6,-5.6,NA,NA,216,NA
1998,12,25,9,-5.6,NA,NA,223,99
1998,12,25,12,-6.4,NA,NA,187,99
1998,12,25,15,-6.5,NA,NA,181,97
1998,12,25,18,-6,NA,5.3,219,87
1998,12,25,21,-4.6,NA,2.9,205,55
1998,12,26,0,NA,NA,1,355,30
1998,12,26,3,NA,NA,1.6,343,51
1998,12,26,6,NA,NA,1.6,123,41
1998,12,26,9,NA,NA,1.6,118,61
1998,12,26,12,NA,NA,1.4,120,64
1998,12,26,15,-5.5,NA,NA,212,85
1998,12,26,18,-4.4,NA,NA,208,88
1998,12,26,21,-2.5,NA,7.8,215,63
1998,12,27,0,-1.9,NA,4.3,80,73
1998,12,27,3,-3,NA,5.1,205,62
1998,12,27,6,-3.6,NA,2.3,167,66
1998,12,27,9,NA,NA,1.8,157,91
1998,12,27,12,NA,NA,1.2,150,91
1998,12,27,15,NA,NA,1.8,130,88
1998,12,27,18,NA,NA,0.2,53,92
1998,12,27,21,-6,NA,2.9,334,93
1998,12,28,0,-3,NA,2.3,340,75
1998,12,28,3,-2,NA,4.3,336,80
1998,12,28,6,-1.4,NA,4.3,313,70
1998,12,28,9,-1.6,NA,2.1,352,70
1998,12,28,12,NA,NA,0.2,236,65
1998,12,28,15,NA,NA,0.4,309,85
1998,12,28,18,-7.2,NA,3.7,94,76
1998,12,28,21,-4.1,NA,2.9,104,55
1998,12,29,0,-3.5,NA,3.5,63,84
1998,12,29,3,NA,NA,0.4,105,20
1998,12,29,6,NA,NA,0.2,105,33
1998,12,29,9,NA,NA,2.5,82,90
1998,12,29,12,NA,NA,1.2,94,99
1998,12,29,15,NA,NA,1.8,108,98
1998,12,29,18,NA,NA,1.2,115,73
1998,12,29,21,NA,NA,1.8,116,77
1998,12,30,0,NA,NA,0.2,142,26
1998,12,30,3,-5.8,NA,2.5,147,64
1998,12,30,6,-5.5,NA,2.5,180,76
1998,12,30,9,-6.5,NA,2.5,184,78
1998,12,30,12,-8.5,NA,2.7,178,96
1998,12,30,15,NA,NA,2.9,125,89
1998,12,30,18,NA,NA,1.4,37,88
1998,12,30,21,-7.8,NA,2.7,54,93
1998,12,31,0,-7.4,NA,3.5,15,90
1998,12,31,3,-6.6,NA,3.5,19,81
1998,12,31,6,-6.1,NA,3.3,36,85
1998,12,31,9,-6.6,NA,2.9,56,97
1998,12,31,12,NA,NA,0.6,30,97
1998,12,31,15,-8.6,NA,3.5,9,97
1998,12,31,18,-7.9,NA,2.5,11,99
1998,12,31,21,-5.8,NA,3.3,355,89
1999,1,1,0,NA,NA,NA,NA,NA
1999,1,1,3,NA,NA,NA,NA,NA
1999,1,1,6,NA,NA,NA,NA,NA
1999,1,1,9,NA,NA,NA,NA,NA
1999,1,1,12,NA,NA,NA,NA,NA
1999,1,1,15,NA,NA,NA,NA,NA
1999,1,1,18,NA,NA,NA,NA,NA
1999,1,1,21,NA,NA,NA,NA,NA
1999,1,2,0,NA,NA,NA,NA,NA
1999,1,2,3,NA,NA,NA,NA,NA
1999,1,2,6,NA,NA,NA,NA,NA
1999,1,2,9,NA,NA,NA,NA,NA
1999,1,2,12,NA,NA,NA,NA,NA
1999,1,2,15,NA,NA,NA,NA,NA
1999,1,2,18,NA,NA,NA,NA,NA
1999,1,2,21,NA,NA,NA,NA,NA
1999,1,3,0,NA,NA,NA,NA,NA
1999,1,3,3,NA,NA,NA,NA,NA
1999,1,3,6,NA,NA,NA,NA,NA
1999,1,3,9,NA,NA,NA,NA,NA
1999,1,3,12,NA,NA,NA,NA,NA
1999,1,3,15,NA,NA,NA,NA,NA
1999,1,3,18,NA,NA,NA,NA,NA
1999,1,3,21,NA,NA,NA,NA,NA
1999,1,4,0,NA,NA,NA,NA,NA
1999,1,4,3,NA,NA,NA,NA,NA
1999,1,4,6,NA,NA,NA,NA,NA
1999,1,4,9,NA,NA,NA,NA,NA
1999,1,4,12,NA,NA,NA,NA,NA
1999,1,4,15,NA,NA,NA,NA,NA
1999,1,4,18,NA,NA,NA,NA,NA
1999,1,4,21,NA,NA,NA,NA,NA
1999,1,5,0,NA,NA,NA,NA,NA
1999,1,5,3,NA,NA,NA,NA,NA
1999,1,5,6,NA,NA,NA,NA,NA
1999,1,5,9,NA,NA,NA,NA,NA
1999,1,5,12,NA,NA,NA,NA,NA
1999,1,5,15,NA,NA,NA,NA,NA
1999,1,5,18,NA,NA,NA,NA,NA
1999,1,5,21,NA,NA,NA,NA,NA
1999,1,6,0,NA,NA,NA,NA,NA
1999,1,6,3,NA,NA,NA,NA,NA
1999,1,6,6,NA,NA,NA,NA,NA
1999,1,6,9,NA,NA,NA,NA,NA
1999,1,6,12,NA,NA,NA,NA,NA
1999,1,6,15,NA,NA,NA,NA,NA
1999,1,6,18,NA,NA,NA,NA,NA
1999,1,6,21,NA,NA,NA,NA,NA
1999,1,7,0,NA,NA,NA,NA,NA
1999,1,7,3,NA,NA,NA,NA,NA
1999,1,7,6,NA,NA,NA,NA,NA
1999,1,7,9,NA,NA,NA,NA,NA
1999,1,7,12,NA,NA,NA,NA,NA
1999,1,7,15,NA,NA,NA,NA,NA
1999,1,7,18,NA,NA,NA,NA,NA
1999,1,7,21,NA,NA,NA,NA,NA
1999,1,8,0,NA,NA,NA,NA,NA
1999,1,8,3,NA,NA,NA,NA,NA
1999,1,8,6,NA,NA,NA,NA,NA
1999,1,8,9,NA,NA,NA,NA,NA
1999,1,8,12,NA,NA,NA,NA,NA
1999,1,8,15,NA,NA,NA,NA,NA
1999,1,8,18,NA,NA,NA,NA,NA
1999,1,8,21,NA,NA,NA,NA,NA
1999,1,9,0,NA,NA,NA,NA,NA
1999,1,9,3,NA,NA,NA,NA,NA
1999,1,9,6,NA,NA,NA,NA,NA
1999,1,9,9,NA,NA,NA,NA,NA
1999,1,9,12,NA,NA,NA,NA,NA
1999,1,9,15,NA,NA,NA,NA,NA
1999,1,9,18,NA,NA,NA,NA,NA
1999,1,9,21,NA,NA,NA,NA,NA
1999,1,10,0,NA,NA,NA,NA,NA
1999,1,10,3,NA,NA,NA,NA,NA
1999,1,10,6,NA,NA,NA,NA,NA
1999,1,10,9,NA,NA,NA,NA,NA
1999,1,10,12,NA,NA,NA,NA,NA
1999,1,10,15,NA,NA,NA,NA,NA
1999,1,10,18,NA,NA,NA,NA,NA
1999,1,10,21,NA,NA,NA,NA,NA
1999,1,11,0,NA,NA,NA,NA,NA
1999,1,11,3,NA,NA,NA,NA,NA
1999,1,11,6,NA,NA,NA,NA,NA
1999,1,11,9,NA,NA,NA,NA,NA
1999,1,11,12,NA,NA,NA,NA,NA
1999,1,11,15,NA,NA,NA,NA,NA
1999,1,11,18,NA,NA,NA,NA,NA
1999,1,11,21,NA,NA,NA,NA,NA
1999,1,12,0,NA,NA,NA,NA,NA
1999,1,12,3,NA,NA,NA,NA,NA
1999,1,12,6,NA,NA,NA,NA,NA
1999,1,12,9,NA,NA,NA,NA,NA
1999,1,12,12,NA,NA,NA,NA,NA
1999,1,12,15,NA,NA,NA,NA,NA
1999,1,12,18,NA,NA,NA,NA,NA
1999,1,12,21,NA,NA,NA,NA,NA
1999,1,13,0,NA,NA,NA,NA,NA
1999,1,13,3,NA,NA,NA,NA,NA
1999,1,13,6,NA,NA,NA,NA,NA
1999,1,13,9,NA,NA,NA,NA,NA
1999,1,13,12,NA,NA,NA,NA,NA
1999,1,13,15,NA,NA,NA,NA,NA
1999,1,13,18,NA,NA,NA,NA,NA
1999,1,13,21,NA,NA,NA,NA,NA
1999,1,14,0,NA,NA,NA,NA,NA
1999,1,14,3,NA,NA,NA,NA,NA
1999,1,14,6,NA,NA,NA,NA,NA
1999,1,14,9,NA,NA,NA,NA,NA
1999,1,14,12,NA,NA,NA,NA,NA
1999,1,14,15,NA,NA,NA,NA,NA
1999,1,14,18,NA,NA,NA,NA,NA
1999,1,14,21,NA,NA,NA,NA,NA
1999,1,15,0,NA,NA,NA,NA,NA
1999,1,15,3,NA,NA,NA,NA,NA
1999,1,15,6,NA,NA,NA,NA,NA
1999,1,15,9,NA,NA,NA,NA,NA
1999,1,15,12,NA,NA,NA,NA,NA
1999,1,15,15,NA,NA,NA,NA,NA
1999,1,15,18,NA,NA,NA,NA,NA
1999,1,15,21,NA,NA,NA,NA,NA
1999,1,16,0,NA,NA,NA,NA,NA
1999,1,16,3,NA,NA,NA,NA,NA
1999,1,16,6,NA,NA,NA,NA,NA
1999,1,16,9,NA,NA,NA,NA,NA
1999,1,16,12,NA,NA,NA,NA,NA
1999,1,16,15,NA,NA,NA,NA,NA
1999,1,16,18,NA,NA,NA,NA,NA
1999,1,16,21,NA,NA,NA,NA,NA
1999,1,17,0,NA,NA,NA,NA,NA
1999,1,17,3,NA,NA,NA,NA,NA
1999,1,17,6,NA,NA,NA,NA,NA
1999,1,17,9,NA,NA,NA,NA,NA
1999,1,17,12,NA,NA,NA,NA,NA
1999,1,17,15,NA,NA,NA,NA,NA
1999,1,17,18,NA,NA,NA,NA,NA
1999,1,17,21,NA,NA,NA,NA,NA
1999,1,18,0,NA,NA,NA,NA,NA
1999,1,18,3,NA,NA,NA,NA,NA
1999,1,18,6,NA,NA,NA,NA,NA
1999,1,18,9,NA,NA,NA,NA,NA
1999,1,18,12,NA,NA,NA,NA,NA
1999,1,18,15,NA,NA,NA,NA,NA
1999,1,18,18,NA,NA,NA,NA,NA
1999,1,18,21,NA,NA,NA,NA,NA
1999,1,19,0,NA,NA,NA,NA,NA
1999,1,19,3,NA,NA,NA,NA,NA
1999,1,19,6,NA,NA,NA,NA,NA
1999,1,19,9,NA,NA,NA,NA,NA
1999,1,19,12,NA,NA,NA,NA,NA
1999,1,19,15,NA,NA,NA,NA,NA
1999,1,19,18,NA,NA,NA,NA,NA
1999,1,19,21,NA,NA,NA,NA,NA
1999,1,20,0,NA,NA,NA,NA,NA
1999,1,20,3,NA,NA,NA,NA,NA
1999,1,20,6,NA,NA,NA,NA,NA
1999,1,20,9,NA,NA,NA,NA,NA
1999,1,20,12,NA,NA,NA,NA,NA
1999,1,20,15,NA,NA,NA,NA,NA
1999,1,20,18,NA,NA,NA,NA,NA
1999,1,20,21,NA,NA,NA,NA,NA
1999,1,21,0,NA,NA,NA,NA,NA
1999,1,21,3,NA,NA,NA,NA,NA
1999,1,21,6,NA,NA,NA,NA,NA
1999,1,21,9,NA,NA,NA,NA,NA
1999,1,21,12,NA,NA,NA,NA,NA
1999,1,21,15,NA,NA,NA,NA,NA
1999,1,21,18,NA,NA,NA,NA,NA
1999,1,21,21,NA,NA,NA,NA,NA
1999,1,22,0,NA,NA,NA,NA,NA
1999,1,22,3,NA,NA,NA,NA,NA
1999,1,22,6,NA,NA,NA,NA,NA
1999,1,22,9,NA,NA,NA,NA,NA
1999,1,22,12,NA,NA,NA,NA,NA
1999,1,22,15,NA,NA,NA,NA,NA
1999,1,22,18,NA,NA,NA,NA,NA
1999,1,22,21,NA,NA,NA,NA,NA
1999,1,23,0,NA,NA,NA,NA,NA
1999,1,23,3,NA,NA,NA,NA,NA
1999,1,23,6,NA,NA,NA,NA,NA
1999,1,23,9,NA,NA,NA,NA,NA
1999,1,23,12,NA,NA,NA,NA,NA
1999,1,23,15,NA,NA,NA,NA,NA
1999,1,23,18,NA,NA,NA,NA,NA
1999,1,23,21,NA,NA,NA,NA,NA
1999,1,24,0,NA,NA,NA,NA,NA
1999,1,24,3,NA,NA,NA,NA,NA
1999,1,24,6,NA,NA,NA,NA,NA
1999,1,24,9,NA,NA,NA,NA,NA
1999,1,24,12,NA,NA,NA,NA,NA
1999,1,24,15,NA,NA,NA,NA,NA
1999,1,24,18,NA,NA,NA,NA,NA
1999,1,24,21,NA,NA,NA,NA,NA
1999,1,25,0,NA,NA,NA,NA,NA
1999,1,25,3,NA,NA,NA,NA,NA
1999,1,25,6,NA,NA,NA,NA,NA
1999,1,25,9,NA,NA,NA,NA,NA
1999,1,25,12,NA,NA,NA,NA,NA
1999,1,25,15,NA,NA,NA,NA,NA
1999,1,25,18,NA,NA,NA,NA,NA
1999,1,25,21,NA,NA,NA,NA,NA
1999,1,26,0,NA,NA,NA,NA,NA
1999,1,26,3,NA,NA,NA,NA,NA
1999,1,26,6,NA,NA,NA,NA,NA
1999,1,26,9,NA,NA,NA,NA,NA
1999,1,26,12,NA,NA,NA,NA,NA
1999,1,26,15,NA,NA,NA,NA,NA
1999,1,26,18,NA,NA,NA,NA,NA
1999,1,26,21,NA,NA,NA,NA,NA
1999,1,27,0,NA,NA,NA,NA,NA
1999,1,27,3,NA,NA,NA,NA,NA
1999,1,27,6,NA,NA,NA,NA,NA
1999,1,27,9,NA,NA,NA,NA,NA
1999,1,27,12,NA,NA,NA,NA,NA
1999,1,27,15,NA,NA,NA,NA,NA
1999,1,27,18,NA,NA,NA,NA,NA
1999,1,27,21,NA,NA,NA,NA,NA
1999,1,28,0,NA,NA,NA,NA,NA
1999,1,28,3,NA,NA,NA,NA,NA
1999,1,28,6,NA,NA,NA,NA,NA
1999,1,28,9,NA,NA,NA,NA,NA
1999,1,28,12,NA,NA,NA,NA,NA
1999,1,28,15,NA,NA,NA,NA,NA
1999,1,28,18,NA,NA,NA,NA,NA
1999,1,28,21,NA,NA,NA,NA,NA
1999,1,29,0,NA,NA,NA,NA,NA
1999,1,29,3,NA,NA,NA,NA,NA
1999,1,29,6,NA,NA,NA,NA,NA
1999,1,29,9,NA,NA,NA,NA,NA
1999,1,29,12,NA,NA,NA,NA,NA
1999,1,29,15,NA,NA,NA,NA,NA
1999,1,29,18,NA,NA,NA,NA,NA
1999,1,29,21,NA,NA,NA,NA,NA
1999,1,30,0,NA,NA,NA,NA,NA
1999,1,30,3,NA,NA,NA,NA,NA
1999,1,30,6,NA,NA,NA,NA,NA
1999,1,30,9,NA,NA,NA,NA,NA
1999,1,30,12,NA,NA,NA,NA,NA
1999,1,30,15,NA,NA,NA,NA,NA
1999,1,30,18,NA,NA,NA,NA,NA
1999,1,30,21,NA,NA,NA,NA,NA
1999,1,31,0,NA,NA,NA,NA,NA
1999,1,31,3,NA,NA,NA,NA,NA
1999,1,31,6,NA,NA,NA,NA,NA
1999,1,31,9,NA,NA,NA,NA,NA
1999,1,31,12,NA,NA,NA,NA,NA
1999,1,31,15,NA,NA,NA,NA,NA
1999,1,31,18,NA,NA,NA,NA,NA
1999,1,31,21,NA,NA,NA,NA,NA
1999,2,1,0,NA,NA,NA,NA,NA
1999,2,1,3,NA,NA,NA,NA,NA
1999,2,1,6,NA,NA,NA,NA,NA
1999,2,1,9,NA,NA,NA,NA,NA
1999,2,1,12,NA,NA,NA,NA,NA
1999,2,1,15,NA,NA,NA,NA,NA
1999,2,1,18,NA,NA,NA,NA,NA
1999,2,1,21,NA,NA,NA,NA,NA
1999,2,2,0,NA,NA,NA,NA,NA
1999,2,2,3,NA,NA,NA,NA,NA
1999,2,2,6,NA,NA,NA,NA,NA
1999,2,2,9,NA,NA,NA,NA,NA
1999,2,2,12,NA,NA,NA,NA,NA
1999,2,2,15,NA,NA,NA,NA,NA
1999,2,2,18,NA,NA,NA,NA,NA
1999,2,2,21,NA,NA,NA,NA,NA
1999,2,3,0,NA,NA,NA,NA,NA
1999,2,3,3,NA,NA,NA,NA,NA
1999,2,3,6,NA,NA,NA,NA,NA
1999,2,3,9,NA,NA,NA,NA,NA
1999,2,3,12,NA,NA,NA,NA,NA
1999,2,3,15,NA,NA,NA,NA,NA
1999,2,3,18,NA,NA,NA,NA,NA
1999,2,3,21,NA,NA,NA,NA,NA
1999,2,4,0,NA,NA,NA,NA,NA
1999,2,4,3,NA,NA,NA,NA,NA
1999,2,4,6,NA,NA,NA,NA,NA
1999,2,4,9,NA,NA,NA,NA,NA
1999,2,4,12,NA,NA,NA,NA,NA
1999,2,4,15,NA,NA,NA,NA,NA
1999,2,4,18,NA,NA,NA,NA,NA
1999,2,4,21,NA,NA,NA,NA,NA
1999,2,5,0,NA,NA,NA,NA,NA
1999,2,5,3,NA,NA,NA,NA,NA
1999,2,5,6,NA,NA,NA,NA,NA
1999,2,5,9,NA,NA,NA,NA,NA
1999,2,5,12,NA,NA,NA,NA,NA
1999,2,5,15,NA,NA,NA,NA,NA
1999,2,5,18,NA,NA,NA,NA,NA
1999,2,5,21,NA,NA,NA,NA,NA
1999,2,6,0,NA,NA,NA,NA,NA
1999,2,6,3,NA,NA,NA,NA,NA
1999,2,6,6,NA,NA,NA,NA,NA
1999,2,6,9,NA,NA,NA,NA,NA
1999,2,6,12,NA,NA,NA,NA,NA
1999,2,6,15,NA,NA,NA,NA,NA
1999,2,6,18,NA,NA,NA,NA,NA
1999,2,6,21,NA,NA,NA,NA,NA
1999,2,7,0,NA,NA,NA,NA,NA
1999,2,7,3,NA,NA,NA,NA,NA
1999,2,7,6,NA,NA,NA,NA,NA
1999,2,7,9,NA,NA,NA,NA,NA
1999,2,7,12,NA,NA,NA,NA,NA
1999,2,7,15,NA,NA,NA,NA,NA
1999,2,7,18,NA,NA,NA,NA,NA
1999,2,7,21,NA,NA,NA,NA,NA
1999,2,8,0,NA,NA,NA,NA,NA
1999,2,8,3,NA,NA,NA,NA,NA
1999,2,8,6,NA,NA,NA,NA,NA
1999,2,8,9,NA,NA,NA,NA,NA
1999,2,8,12,NA,NA,NA,NA,NA
1999,2,8,15,NA,NA,NA,NA,NA
1999,2,8,18,NA,NA,NA,NA,NA
1999,2,8,21,NA,NA,NA,NA,NA
1999,2,9,0,NA,NA,NA,NA,NA
1999,2,9,3,NA,NA,NA,NA,NA
1999,2,9,6,NA,NA,NA,NA,NA
1999,2,9,9,NA,NA,NA,NA,NA
1999,2,9,12,NA,NA,NA,NA,NA
1999,2,9,15,NA,NA,NA,NA,NA
1999,2,9,18,NA,NA,NA,NA,NA
1999,2,9,21,NA,NA,NA,NA,NA
1999,2,10,0,NA,NA,NA,NA,NA
1999,2,10,3,NA,NA,NA,NA,NA
1999,2,10,6,NA,NA,NA,NA,NA
1999,2,10,9,NA,NA,NA,NA,NA
1999,2,10,12,NA,NA,NA,NA,NA
1999,2,10,15,NA,NA,NA,NA,NA
1999,2,10,18,NA,NA,NA,NA,NA
1999,2,10,21,NA,NA,NA,NA,NA
1999,2,11,0,NA,NA,NA,NA,NA
1999,2,11,3,NA,NA,NA,NA,NA
1999,2,11,6,NA,NA,NA,NA,NA
1999,2,11,9,NA,NA,NA,NA,NA
1999,2,11,12,NA,NA,NA,NA,NA
1999,2,11,15,NA,NA,NA,NA,NA
